2025-05-22 17:03:20 startup archives unpack
2025-05-22 17:03:20 upgrade gcc-12-base:amd64 12.2.0-14 12.2.0-14+deb12u1
2025-05-22 17:03:20 status half-configured gcc-12-base:amd64 12.2.0-14
2025-05-22 17:03:20 status unpacked gcc-12-base:amd64 12.2.0-14
2025-05-22 17:03:20 status half-installed gcc-12-base:amd64 12.2.0-14
2025-05-22 17:03:20 status unpacked gcc-12-base:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:20 startup packages configure
2025-05-22 17:03:20 configure gcc-12-base:amd64 12.2.0-14+deb12u1 <none>
2025-05-22 17:03:20 status unpacked gcc-12-base:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:20 status half-configured gcc-12-base:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:20 status installed gcc-12-base:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:20 startup archives unpack
2025-05-22 17:03:21 upgrade libstdc++6:amd64 12.2.0-14 12.2.0-14+deb12u1
2025-05-22 17:03:21 status triggers-pending libc-bin:amd64 2.36-9+deb12u10
2025-05-22 17:03:21 status half-configured libstdc++6:amd64 12.2.0-14
2025-05-22 17:03:21 status unpacked libstdc++6:amd64 12.2.0-14
2025-05-22 17:03:21 status half-installed libstdc++6:amd64 12.2.0-14
2025-05-22 17:03:21 status unpacked libstdc++6:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 startup packages configure
2025-05-22 17:03:21 configure libstdc++6:amd64 12.2.0-14+deb12u1 <none>
2025-05-22 17:03:21 status unpacked libstdc++6:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 status half-configured libstdc++6:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 status installed libstdc++6:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 startup archives unpack
2025-05-22 17:03:21 upgrade libgcc-s1:amd64 12.2.0-14 12.2.0-14+deb12u1
2025-05-22 17:03:21 status half-configured libgcc-s1:amd64 12.2.0-14
2025-05-22 17:03:21 status unpacked libgcc-s1:amd64 12.2.0-14
2025-05-22 17:03:21 status half-installed libgcc-s1:amd64 12.2.0-14
2025-05-22 17:03:21 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 startup packages configure
2025-05-22 17:03:21 configure libgcc-s1:amd64 12.2.0-14+deb12u1 <none>
2025-05-22 17:03:21 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 status half-configured libgcc-s1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 status installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:21 startup archives unpack
